fdc_id,description,calories,carbs_g,fat_g,fiber_g,protein_g,sodium_mg,cat_Baked Products,cat_Beef Products,cat_Cereal Grains and Pasta,cat_Dairy and Egg Products,cat_Fats and Oils,cat_Finfish and Shellfish Products,cat_Fruits and Fruit Juices,"cat_Lamb, Veal, and Game Products",cat_Legumes and Legume Products,cat_Nut and Seed Products,cat_Pork Products,cat_Poultry Products,cat_Restaurant Foods,cat_Sausages and Luncheon Meats,"cat_Soups, Sauces, and Gravies",cat_Spices and Herbs,cat_Sweets,cat_Vegetables and Vegetable Products
321358,"Hummus, commercial",233.66666666666666,14.9,17.1,5.4,7.35,438.0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
321359,"Milk, reduced fat, fluid, 2% milkfat, with added vitamin A and vitamin D",50.0,4.91,1.9,0.0,3.35,39.0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
321360,"Tomatoes, grape, raw",28.333333333333332,5.51,0.63,2.1,0.83,6.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
321611,"Beans, snap, green, canned, regular pack, drained solids",21.666666666666668,4.11,0.39,0.0,1.04,282.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
321900,"Broccoli, raw",32.0,6.29,0.34,2.4,2.57,36.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
322228,"Milk, lowfat, fluid, 1% milkfat, with added vitamin A and vitamin D",43.0,5.19,0.95,0.0,3.38,39.0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
322559,"Milk, nonfat, fluid, with added vitamin A and vitamin D (fat free or skim)",34.0,4.89,0.08,0.0,3.43,41.0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
322892,"Milk, whole, 3.25% milkfat, with added vitamin D",60.0,4.67,3.2,0.0,3.28,38.0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
323121,"Frankfurter, beef, unheated",312.6666666666667,2.89,28.0,0.0,11.7,872.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
323294,"Nuts, almonds, dry roasted, with salt added",636.0,16.2,57.8,11.0,20.4,256.0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
323444,"Cheese, ricotta, whole milk",157.0,6.86,11.0,0.0,7.81,105.0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
323505,"Kale, raw",37.666666666666664,4.42,1.49,4.1,2.92,53.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
